ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-LMC-RRLYR-01047	0.593	0.051	0.685	0.019	1.644	0.042	6760	100	0.228	0.087	0.705	0.099	0.465	0.028	-0.492	0.078	
OGLE-LMC-RRLYR-01050	0.614	0.051	0.708	0.019	1.638	0.042	6560	100	0.224	0.087	0.733	0.099	0.508	0.028	-0.567	0.078	
OGLE-LMC-RRLYR-01053	0.682	0.054	0.761	0.020	1.733	0.042	6520	100	0.011	0.088	0.527	0.099	0.513	0.029	-0.785	0.081	
OGLE-LMC-RRLYR-01054	0.597	0.050	0.762	0.019	1.777	0.042	6680	100	-0.121	0.087	0.368	0.098	0.483	0.028	-0.871	0.078	
OGLE-LMC-RRLYR-01058	0.730	0.052	0.785	0.020	1.756	0.042	6410	100	-0.078	0.088	0.460	0.099	0.540	0.028	-0.921	0.080	
OGLE-LMC-RRLYR-01061	0.651	0.052	0.749	0.019	1.662	0.042	6350	100	0.101	0.088	0.668	0.099	0.561	0.028	-0.763	0.079	
OGLE-LMC-RRLYR-01063	0.679	0.050	0.753	0.019	1.691	0.042	6430	100	0.091	0.087	0.616	0.098	0.531	0.028	-0.738	0.078	
OGLE-LMC-RRLYR-01066	0.574	0.051	0.679	0.019	1.585	0.042	6560	100	0.318	0.088	0.848	0.099	0.511	0.028	-0.478	0.078	
OGLE-LMC-RRLYR-01067	0.715	0.051	0.759	0.019	1.740	0.042	6560	100	-0.006	0.087	0.506	0.099	0.509	0.028	-0.798	0.078	
OGLE-LMC-RRLYR-01068	0.567	0.051	0.693	0.019	1.622	0.042	6590	100	0.232	0.087	0.750	0.099	0.501	0.028	-0.550	0.078	
OGLE-LMC-RRLYR-01070	0.639	0.052	0.728	0.019	1.725	0.042	6740	100	0.042	0.088	0.515	0.099	0.467	0.028	-0.685	0.079	
OGLE-LMC-RRLYR-01071	0.616	0.050	0.695	0.019	1.680	0.042	6820	100	0.174	0.087	0.629	0.098	0.446	0.028	-0.517	0.078	
OGLE-LMC-RRLYR-01075	0.648	0.054	0.708	0.020	1.677	0.042	6700	100	0.154	0.088	0.646	0.099	0.478	0.028	-0.590	0.079	
OGLE-LMC-RRLYR-01077	0.559	0.051	0.715	0.019	1.698	0.042	6750	100	0.079	0.087	0.557	0.098	0.464	0.028	-0.642	0.078	
OGLE-LMC-RRLYR-01079	0.765	0.052	0.768	0.020	1.726	0.042	6430	100	0.005	0.089	0.54	0.10	0.538	0.028	-0.839	0.081	
OGLE-LMC-RRLYR-01081	0.583	0.052	0.701	0.019	1.627	0.042	6570	100	0.227	0.088	0.737	0.099	0.507	0.028	-0.559	0.079	
OGLE-LMC-RRLYR-01082	0.651	0.050	0.752	0.019	1.674	0.042	6360	100	0.090	0.088	0.628	0.099	0.548	0.028	-0.760	0.078	
OGLE-LMC-RRLYR-01085	0.532	0.050	0.690	0.019	1.678	0.042	6850	100	0.130	0.087	0.583	0.099	0.436	0.028	-0.550	0.077	
OGLE-LMC-RRLYR-01086	0.588	0.052	0.708	0.020	1.716	0.042	6860	100	0.081	0.087	0.532	0.098	0.441	0.029	-0.602	0.080	
OGLE-LMC-RRLYR-01087	0.631	0.052	0.731	0.020	1.648	0.042	6430	100	0.183	0.087	0.704	0.099	0.531	0.028	-0.646	0.078	
OGLE-LMC-RRLYR-01088	0.669	0.051	0.740	0.019	1.705	0.042	6560	100	0.063	0.087	0.569	0.099	0.506	0.028	-0.727	0.078	
OGLE-LMC-RRLYR-01091	0.542	0.050	0.695	0.019	1.657	0.042	6730	100	0.174	0.087	0.655	0.098	0.466	0.028	-0.552	0.077	
OGLE-LMC-RRLYR-01094	0.718	0.052	0.760	0.020	1.720	0.042	6480	100	0.042	0.088	0.568	0.099	0.525	0.028	-0.775	0.079	
OGLE-LMC-RRLYR-01096	0.622	0.051	0.715	0.019	1.652	0.042	6570	100	0.208	0.088	0.712	0.099	0.503	0.028	-0.574	0.079	
OGLE-LMC-RRLYR-01097	0.668	0.052	0.736	0.020	1.676	0.042	6480	100	0.125	0.088	0.646	0.099	0.524	0.028	-0.692	0.079	
OGLE-LMC-RRLYR-01099	0.545	0.050	0.665	0.019	1.633	0.042	6870	100	0.263	0.087	0.708	0.098	0.440	0.028	-0.419	0.077	
